nome;email;email_corporativo;area;cargo;funcao;localidade;tempo_de_empresa;genero;geracao;n0_empresa;n1_diretoria;n2_gerencia;n3_coordenacao;n4_area;Data da Resposta;Interesse no Cargo;Comentários - Interesse no Cargo;Contribuição;Comentários - Contribuição;Aprendizado e Desenvolvimento;Comentários - Aprendizado e Desenvolvimento;Feedback;Comentários - Feedback;Interação com Gestor;Comentários - Interação com Gestor;Clareza sobre Possibilidades de Carreira;Comentários - Clareza sobre Possibilidades de Carreira;Expectativa de Permanência;Comentários - Expectativa de Permanência;eNPS;[Aberta] eNPS
Demo 011;demo011@pinpeople.com.br;demo011@pinpeople.com.br;administrativo;gerente;gestor;recife;entre 2 e 5 anos;feminino;geração y;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;6;Gostaria de me envolver em iniciativas estratégicas.;6;-;7;-;6;-;5;-;1;-;2;-;1;Sinto que minhas contribuições são valorizadas pela equipe.
Demo 012;demo012@pinpeople.com.br;demo012@pinpeople.com.br;comercial;gerente;gestor;porto alegre;mais de 5 anos;feminino;geração x;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;6;Estou muito satisfeito com minhas responsabilidades atuais e vejo potencial de crescimento.;7;-;6;-;6;-;4;-;5;-;2;-;2;A infraestrutura do escritório precisa de melhorias.
Demo 013;demo013@pinpeople.com.br;demo013@pinpeople.com.br;financeiro;estagiário;profissional;são paulo;menos de 1 ano;outro;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;6;-;7;-;5;-;3;-;5;-;3;-;2;-;7;Gostaria de ter mais flexibilidade nos horários de trabalho.
Demo 014;demo014@pinpeople.com.br;demo014@pinpeople.com.br;recursos humanos;estagiário;profissional;são paulo;entre 2 e 5 anos;feminino;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;7;-;7;-;2;-;6;-;5;Tenho uma excelente relação profissional com meu gestor.;5;-;6;-;3;A empresa promove eventos que fortalecem o espírito de equipe.
Demo 015;demo015@pinpeople.com.br;demo015@pinpeople.com.br;tecnologia;analista;profissional;recife;mais de 5 anos;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;6;-;3;-;3;-;6;-;5;-;7;-;3;-;5;Sinto que há falta de transparência nas decisões da gerência.
Demo 016;demo016@pinpeople.com.br;demo016@pinpeople.com.br;administrativo;analista;profissional;manaus;mais de 5 anos;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;7;-;5;Gostaria de ser mais envolvido em projetos interdepartamentais.;5;-;7;-;5;-;5;-;6;-;9;Os processos internos são burocráticos e dificultam a eficiência.
Demo 017;demo017@pinpeople.com.br;demo017@pinpeople.com.br;comercial;analista;profissional;porto alegre;entre 2 e 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;2;-;3;-;2;-;3;-;3;-;3;-;2;Estou considerando outras oportunidades fora da empresa.;2;A remuneração é competitiva em relação ao mercado.
Demo 018;demo018@pinpeople.com.br;demo018@pinpeople.com.br;financeiro;analista;profissional;porto alegre;mais de 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;7;-;7;Estou motivado a contribuir para o sucesso da empresa.;7;-;6;-;7;-;7;-;5;-;2;Gostaria de ver mais iniciativas de bem-estar para os funcionários.
Demo 019;demo019@pinpeople.com.br;demo019@pinpeople.com.br;recursos humanos;coordenador;profissional;manaus;entre 2 e 5 anos;outro;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;-;1;-;5;-;1;-;3;-;4;-;7;-;8;A empresa incentiva a inovação e a criatividade.
Demo 020;demo020@pinpeople.com.br;demo020@pinpeople.com.br;tecnologia;coordenador;profissional;porto alegre;entre 2 e 5 anos;feminino;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;6;-;1;-;1;-;1;-;7;-;3;-;6;-;3;Sinto que a carga de trabalho não está distribuída de forma justa.
Demo 021;demo021@pinpeople.com.br;demo021@pinpeople.com.br;administrativo;coordenador;profissional;manaus;entre 1 e 2 anos;feminino;geração y;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;7;-;2;-;7;-;2;-;7;-;1;-;2;-;8;A liderança oferece suporte adequado para o desenvolvimento da equipe.
Demo 022;demo022@pinpeople.com.br;demo022@pinpeople.com.br;comercial;gerente;gestor;recife;menos de 1 ano;outro;geração y;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;6;Gostaria de assumir responsabilidades globais.;6;-;3;-;2;Sinto falta de feedbacks regulares sobre meu desempenho.;6;-;7;Gostaria de entender melhor o plano de carreira disponível.;3;-;3;Os projetos são desafiadores e estimulantes.
Demo 023;demo023@pinpeople.com.br;demo023@pinpeople.com.br;financeiro;gerente;gestor;são paulo;entre 2 e 5 anos;masculino;geração x;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;2;-;4;Estou comprometido em superar as metas estabelecidas.;5;-;7;-;7;-;2;-;4;-;6;Gostaria de ter mais oportunidades de trabalhar em diferentes departamentos.
Demo 024;demo024@pinpeople.com.br;demo024@pinpeople.com.br;recursos humanos;diretor;gestor;recife;entre 2 e 5 anos;masculino;geração x;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;6;-;6;-;4;-;7;-;5;-;6;-;4;-;3;A empresa valoriza a diversidade e inclusão.
Demo 025;demo025@pinpeople.com.br;demo025@pinpeople.com.br;tecnologia;estagiário;profissional;porto alegre;entre 2 e 5 anos;feminino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;-;6;-;3;-;7;-;7;-;1;-;3;-;1;Sinto que minha opinião não é sempre ouvida pela gestão.
Demo 026;demo026@pinpeople.com.br;demo026@pinpeople.com.br;administrativo;estagiário;profissional;são paulo;entre 2 e 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;6;-;6;Estou comprometido em melhorar continuamente minha performance.;5;-;6;-;6;-;7;-;7;-;0;Os benefícios de saúde são abrangentes e bem estruturados.
Demo 027;demo027@pinpeople.com.br;demo027@pinpeople.com.br;comercial;analista;profissional;são paulo;mais de 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;7;-;6;-;3;-;5;-;6;-;4;-;1;-;8;Gostaria de ver mais clareza nas metas e objetivos da empresa.
Demo 028;demo028@pinpeople.com.br;demo028@pinpeople.com.br;financeiro;analista;profissional;porto alegre;entre 2 e 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a112;20/01/2022;7;-;6;-;7;-;7;-;4;-;4;-;2;-;9;A cultura de feedback é bem estabelecida e construtiva.
Demo 029;demo029@pinpeople.com.br;demo029@pinpeople.com.br;recursos humanos;analista;profissional;são paulo;entre 2 e 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;6;Tenho interesse em assumir mais responsabilidades e desafios.;7;-;6;Sinto que não há incentivo para aprimorar minhas habilidades.;7;-;7;-;2;-;4;-;4;Sinto que há poucas oportunidades de avanço na minha carreira atual.
Demo 030;demo030@pinpeople.com.br;demo030@pinpeople.com.br;tecnologia;analista;profissional;são paulo;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a11;área a111;20/01/2022;7;-;7;-;3;-;2;-;5;-;6;-;2;-;8;A empresa promove um ambiente de trabalho saudável e positivo.
Demo 031;demo031@pinpeople.com.br;demo031@pinpeople.com.br;administrativo;coordenador;profissional;porto alegre;entre 1 e 2 anos;outro;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;-;6;-;5;-;7;-;6;-;3;-;3;-;9;Gostaria de mais iniciativas de sustentabilidade na empresa.
Demo 032;demo032@pinpeople.com.br;demo032@pinpeople.com.br;comercial;coordenador;profissional;são paulo;entre 2 e 5 anos;feminino;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;6;Gostaria de participar de projetos interdepartamentais para ganhar experiência.;6;-;6;-;4;-;6;-;3;-;6;Sinto-me motivado a construir minha carreira aqui.;1;A gestão é acessível e aberta a discussões.
Demo 033;demo033@pinpeople.com.br;demo033@pinpeople.com.br;financeiro;coordenador;profissional;porto alegre;entre 2 e 5 anos;masculino;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;6;-;6;-;3;-;7;-;7;-;3;-;3;-;9;Sinto que minha posição atual não oferece desafios suficientes.
Demo 034;demo034@pinpeople.com.br;demo034@pinpeople.com.br;recursos humanos;gerente;gestor;são paulo;menos de 1 ano;outro;geração x;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;-;6;-;6;-;2;-;7;-;5;-;6;-;5;Os programas de reconhecimento são eficazes e motivadores.
Demo 035;demo035@pinpeople.com.br;demo035@pinpeople.com.br;tecnologia;gerente;gestor;porto alegre;entre 2 e 5 anos;masculino;geração x;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;Tenho interesse em posições que envolvam gestão de pessoas.;6;-;7;-;5;-;2;Gostaria de ter reuniões mais frequentes com meu gestor.;7;Sinto que há poucas oportunidades de promoção.;4;-;3;Gostaria de ter mais autonomia nas minhas tarefas diárias.
Demo 036;demo036@pinpeople.com.br;demo036@pinpeople.com.br;administrativo;gerente;gestor;brasília;entre 1 e 2 anos;masculino;baby boomer;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;-;7;-;4;-;4;-;5;-;6;-;1;-;9;A empresa oferece boas ferramentas e recursos para o trabalho.
Demo 037;demo037@pinpeople.com.br;demo037@pinpeople.com.br;comercial;estagiário;profissional;porto alegre;entre 1 e 2 anos;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;7;Estou satisfeito, mas aberto a oportunidades que agreguem valor.;4;-;6;-;2;As avaliações são justas e objetivas.;7;-;1;-;3;-;3;Sinto que há falta de comunicação entre os diferentes departamentos.
Demo 038;demo038@pinpeople.com.br;demo038@pinpeople.com.br;financeiro;estagiário;profissional;manaus;entre 1 e 2 anos;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;7;-;5;Acredito que minha contribuição tem sido significativa para a equipe.;1;-;2;-;7;-;7;-;6;-;10;A cultura da empresa é alinhada com meus valores pessoais.
Demo 039;demo039@pinpeople.com.br;demo039@pinpeople.com.br;recursos humanos;analista;profissional;recife;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a121;20/01/2022;1;-;7;-;6;-;3;-;5;Sinto que minhas sugestões não são consideradas pelo gestor.;3;-;7;-;7;Gostaria de participar mais de decisões estratégicas.
Demo 040;demo040@pinpeople.com.br;demo040@pinpeople.com.br;tecnologia;analista;profissional;recife;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;2;-;7;-;6;Estou satisfeito com as oportunidades de desenvolvimento.;5;-;2;-;7;-;5;-;10;A empresa incentiva o aprendizado contínuo e a capacitação.
Demo 041;demo041@pinpeople.com.br;demo041@pinpeople.com.br;administrativo;analista;profissional;são paulo;menos de 1 ano;feminino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;6;-;6;-;4;-;4;-;6;-;2;-;3;-;8;Sinto que meu trabalho tem um impacto real nos resultados da empresa.
Demo 042;demo042@pinpeople.com.br;demo042@pinpeople.com.br;comercial;analista;profissional;porto alegre;entre 2 e 5 anos;outro;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;5;-;6;-;2;-;6;-;5;-;5;-;3;-;7;Os líderes são justos e tratam todos com respeito.
Demo 043;demo043@pinpeople.com.br;demo043@pinpeople.com.br;financeiro;coordenador;profissional;são paulo;entre 1 e 2 anos;outro;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;7;Gostaria de explorar funções em outras localidades.;4;-;6;-;7;-;6;-;2;-;5;-;8;Gostaria de ver mais transparência nos processos de promoção.
Demo 044;demo044@pinpeople.com.br;demo044@pinpeople.com.br;recursos humanos;coordenador;profissional;manaus;entre 1 e 2 anos;feminino;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;5;-;6;-;5;-;6;-;6;-;6;-;5;-;8;A empresa oferece um bom equilíbrio entre desafios e recompensas.
Demo 045;demo045@pinpeople.com.br;demo045@pinpeople.com.br;tecnologia;coordenador;profissional;porto alegre;mais de 5 anos;masculino;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;7;-;7;-;4;-;5;-;7;-;3;-;4;-;10;Sinto que a carga de trabalho afeta minha saúde mental.
Demo 046;demo046@pinpeople.com.br;demo046@pinpeople.com.br;administrativo;gerente;gestor;recife;entre 1 e 2 anos;feminino;baby boomer;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;7;-;7;-;6;-;4;Sinto que o feedback me ajuda a alinhar minhas metas.;4;-;7;-;7;-;10;A cultura de colaboração é forte e eficaz.
Demo 047;demo047@pinpeople.com.br;demo047@pinpeople.com.br;comercial;gerente;gestor;porto alegre;menos de 1 ano;outro;geração y;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;7;-;6;-;7;Gostaria de participar de programas de desenvolvimento de liderança.;6;-;1;-;4;-;5;-;0;Gostaria de ter mais oportunidades de trabalhar em projetos internacionais.
Demo 048;demo048@pinpeople.com.br;demo048@pinpeople.com.br;financeiro;gerente;gestor;recife;entre 1 e 2 anos;masculino;geração x;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;6;Gostaria de contribuir em áreas relacionadas à sustentabilidade.;7;-;1;-;5;-;5;-;3;-;4;-;8;A empresa valoriza e respeita a diversidade cultural.
Demo 049;demo049@pinpeople.com.br;demo049@pinpeople.com.br;recursos humanos;estagiário;profissional;manaus;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;4;-;6;-;7;-;7;-;4;Meu gestor me fornece orientação clara e objetiva.;2;-;7;-;10;Sinto que as oportunidades de crescimento são limitadas.
Demo 050;demo050@pinpeople.com.br;demo050@pinpeople.com.br;tecnologia;estagiário;profissional;manaus;mais de 5 anos;masculino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;6;-;6;-;6;-;7;-;5;-;4;A empresa oferece diversas possibilidades de desenvolvimento.;6;-;8;Os programas de bem-estar são úteis e bem recebidos.
Demo 051;demo051@pinpeople.com.br;demo051@pinpeople.com.br;administrativo;analista;profissional;manaus;entre 1 e 2 anos;feminino;geração z;empresa;diretoria a;gerência a1;coordenação a12;área a122;20/01/2022;6;-;3;Gostaria de colaborar em projetos que impactam diretamente os clientes.;6;-;7;-;7;-;1;-;6;-;10;Gostaria de mais clareza nas expectativas de desempenho.
Demo 052;demo052@pinpeople.com.br;demo052@pinpeople.com.br;comercial;analista;profissional;porto alegre;entre 2 e 5 anos;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;7;-;7;-;7;-;5;Gostaria de receber mais reconhecimento pelo meu trabalho.;4;-;4;-;6;-;9;A liderança demonstra compromisso com o sucesso da equipe.
Demo 053;demo053@pinpeople.com.br;demo053@pinpeople.com.br;financeiro;analista;profissional;porto alegre;mais de 5 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;6;-;2;-;5;Gostaria de participar de projetos que expandam minhas habilidades.;6;-;7;-;1;-;1;-;4;Sinto que há pouca inovação nos projetos atuais.
Demo 054;demo054@pinpeople.com.br;demo054@pinpeople.com.br;recursos humanos;analista;profissional;são paulo;entre 2 e 5 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;2;-;2;-;5;-;7;-;7;-;3;-;2;-;10;A empresa promove um ambiente inclusivo e acolhedor.
Demo 055;demo055@pinpeople.com.br;demo055@pinpeople.com.br;tecnologia;coordenador;profissional;porto alegre;entre 1 e 2 anos;masculino;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;6;-;6;-;5;-;6;-;1;-;2;-;3;-;3;Gostaria de ter mais feedback construtivo regularmente.
Demo 056;demo056@pinpeople.com.br;demo056@pinpeople.com.br;administrativo;coordenador;profissional;recife;menos de 1 ano;outro;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;7;-;6;-;7;-;6;-;4;A comunicação com meu gestor poderia ser melhorada.;5;-;4;Minha permanência depende de oportunidades de crescimento.;8;A remuneração é justa, mas poderia haver mais incentivos.
Demo 057;demo057@pinpeople.com.br;demo057@pinpeople.com.br;comercial;coordenador;profissional;manaus;entre 1 e 2 anos;outro;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;6;-;7;-;5;-;7;-;6;-;6;-;3;-;10;Sinto que meu trabalho é valorizado e reconhecido.
Demo 058;demo058@pinpeople.com.br;demo058@pinpeople.com.br;financeiro;gerente;gestor;recife;menos de 1 ano;masculino;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;7;-;7;Estou sempre buscando maneiras de otimizar processos.;7;-;2;Gostaria que o processo de avaliação fosse mais transparente.;6;-;7;-;7;-;8;A empresa oferece boas oportunidades de networking.
Demo 059;demo059@pinpeople.com.br;demo059@pinpeople.com.br;recursos humanos;gerente;gestor;recife;mais de 5 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;2;-;6;Gostaria de receber mais responsabilidades para contribuir ainda mais.;7;-;3;-;4;-;6;-;1;-;6;Gostaria de ver mais flexibilidade no local de trabalho, como home office.
Demo 060;demo060@pinpeople.com.br;demo060@pinpeople.com.br;tecnologia;diretor;gestor;porto alegre;mais de 5 anos;feminino;geração x;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;6;-;6;-;7;-;7;-;4;-;3;-;3;-;7;A cultura da empresa promove o equilíbrio entre vida pessoal e profissional.
Demo 061;demo061@pinpeople.com.br;demo061@pinpeople.com.br;administrativo;estagiário;profissional;porto alegre;entre 2 e 5 anos;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;6;-;6;-;7;-;6;-;4;-;7;-;7;-;1;Sinto que há falta de suporte para projetos pessoais.
Demo 062;demo062@pinpeople.com.br;demo062@pinpeople.com.br;comercial;estagiário;profissional;manaus;entre 1 e 2 anos;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;7;-;7;-;2;-;5;-;7;-;3;-;2;-;4;A empresa valoriza a transparência e a honestidade.
Demo 063;demo063@pinpeople.com.br;demo063@pinpeople.com.br;financeiro;analista;profissional;brasília;entre 1 e 2 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;7;-;2;-;1;-;2;-;7;Meu gestor me inspira a ser melhor profissionalmente.;5;-;3;-;5;Gostaria de ter mais oportunidades de liderar projetos.
Demo 064;demo064@pinpeople.com.br;demo064@pinpeople.com.br;recursos humanos;analista;profissional;brasília;entre 2 e 5 anos;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a211;20/01/2022;7;-;5;-;7;-;5;-;7;-;7;-;5;-;4;A infraestrutura tecnológica é moderna e eficiente.
Demo 065;demo065@pinpeople.com.br;demo065@pinpeople.com.br;tecnologia;analista;profissional;manaus;entre 1 e 2 anos;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;6;-;6;-;5;-;7;-;5;-;3;Gostaria de ter metas claras para avançar na carreira.;5;-;4;Sinto que a comunicação poderia ser mais clara e direta.
Demo 066;demo066@pinpeople.com.br;demo066@pinpeople.com.br;administrativo;analista;profissional;porto alegre;menos de 1 ano;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;7;-;6;-;6;-;4;-;5;-;7;-;6;Estou satisfeito e não tenho planos de sair.;9;A empresa oferece bons programas de saúde e bem-estar.
Demo 067;demo067@pinpeople.com.br;demo067@pinpeople.com.br;comercial;coordenador;profissional;porto alegre;entre 1 e 2 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;4;-;7;-;7;-;3;-;5;-;2;-;5;-;4;Gostaria de ver mais iniciativas de responsabilidade social.
Demo 068;demo068@pinpeople.com.br;demo068@pinpeople.com.br;financeiro;coordenador;profissional;brasília;entre 2 e 5 anos;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a22;área a221;20/01/2022;7;-;6;-;7;-;5;-;4;-;4;-;7;-;9;A liderança é acessível e sempre pronta para ajudar.
Demo 069;demo069@pinpeople.com.br;demo069@pinpeople.com.br;recursos humanos;coordenador;profissional;recife;menos de 1 ano;feminino;geração y;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;7;-;3;-;6;-;5;O feedback é essencial para o meu crescimento profissional.;5;-;7;-;3;-;9;Sinto que meu desenvolvimento profissional está estagnado.
Demo 070;demo070@pinpeople.com.br;demo070@pinpeople.com.br;tecnologia;gerente;gestor;porto alegre;menos de 1 ano;outro;geração x;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;3;-;7;-;5;-;7;-;5;-;6;-;2;-;4;A empresa promove um ambiente de trabalho dinâmico e estimulante.
Demo 071;demo071@pinpeople.com.br;demo071@pinpeople.com.br;administrativo;gerente;gestor;porto alegre;menos de 1 ano;feminino;geração x;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;6;-;6;-;4;-;5;-;7;-;2;-;7;-;8;Gostaria de ter mais clareza sobre as oportunidades de promoção.
Demo 072;demo072@pinpeople.com.br;demo072@pinpeople.com.br;comercial;gerente;gestor;porto alegre;mais de 5 anos;feminino;baby boomer;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;7;-;6;Sinto que posso contribuir mais se tiver mais autonomia.;7;-;3;-;4;-;3;-;7;-;3;A cultura de inovação incentiva a criatividade.
Demo 073;demo073@pinpeople.com.br;demo073@pinpeople.com.br;financeiro;estagiário;profissional;porto alegre;menos de 1 ano;masculino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;1;-;7;-;4;-;6;-;2;Gostaria de mais autonomia nas decisões do dia a dia.;3;-;3;-;0;Sinto que há falta de reconhecimento para o trabalho extra.
Demo 074;demo074@pinpeople.com.br;demo074@pinpeople.com.br;recursos humanos;estagiário;profissional;manaus;entre 2 e 5 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;6;-;6;-;6;-;3;-;2;-;3;-;3;-;10;A empresa oferece boas oportunidades de crescimento.
Demo 075;demo075@pinpeople.com.br;demo075@pinpeople.com.br;tecnologia;analista;profissional;recife;entre 1 e 2 anos;feminino;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;7;-;7;-;6;-;5;-;5;-;7;-;3;-;10;Gostaria de ter mais feedback sobre meu desempenho regularmente.
Demo 076;demo076@pinpeople.com.br;demo076@pinpeople.com.br;administrativo;analista;profissional;manaus;entre 2 e 5 anos;outro;geração z;empresa;diretoria a;gerência a2;coordenação a21;área a212;20/01/2022;6;-;6;-;7;-;7;-;2;-;1;-;2;-;10;A comunicação entre equipes é eficiente e colaborativa.
